Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/1M Pop,Deaths/1M Pop,Total Tests,Tests/1M Pop,Population
Palestine,"52,571",473,"45,448","6,650","10,229",92,"514,011","100,009",5139629
Myanmar,"50,403","1,199","30,007","19,197",924,22,"662,449","12,148",54529966
Bulgaria,"48,150","1,225","19,695","27,230","6,947",177,"702,066","101,295",6930918
Ghana,"48,055",320,"47,169",566,"1,536",10,"530,421","16,956",31282646
Bosnia and Herzegovina,"46,639","1,182","27,580","17,877","14,245",361,"307,464","93,911",3273991
Croatia,"46,547",531,"30,910","15,106","11,362",130,"485,281","118,454",4096797
Denmark,"44,034",716,"33,601","9,717","7,593",123,"5,123,430","883,510",5798948
Serbia,"43,592",809,"31,536","11,247","4,996",93,"1,318,096","151,060",8725625
Afghanistan,"41,268","1,532","34,239","5,497","1,052",39,"122,013","3,112",39211149
Georgia,"37,263",285,"19,810","17,168","9,347",71,"860,418","215,827",3986618
Greece,"35,510",615,"9,989","24,906","3,412",59,"1,730,519","166,299",10406046
El Salvador,"33,445",971,"29,186","3,288","5,148",149,"470,913","72,482",6497009
Slovenia,"30,705",292,"10,401","20,012","14,769",140,"350,900","168,780",2079033
Malaysia,"30,090",246,"19,757","10,087",926,8,"2,083,700","64,111",32501543
North Macedonia,"29,558",977,"19,994","8,587","14,188",469,"243,357","116,811",2083346
Australia,"27,580",907,"25,240","1,433","1,077",35,"8,742,009","341,528",25596745
S. Korea,"26,385",463,"24,227","1,695",514,9,"2,612,231","50,937",51283826
Cameroon,"21,793",426,"20,117","1,250",814,16,"149,000","5,568",26758306
Ivory Coast,"20,628",124,"20,310",194,776,5,"192,394","7,236",26588317
Albania,"20,315",499,"11,007","8,809","7,062",173,"118,027","41,028",2876752
Norway,"19,618",281,"11,863","7,474","3,609",52,"1,580,349","290,763",5435187
Montenegro,"17,746",290,"13,727","3,729","28,254",462,"88,363","140,685",628092
Madagascar,"16,968",244,"16,301",423,608,9,"87,659","3,140",27919623
Luxembourg,"16,356",150,"9,865","6,341","25,991",238,"1,039,049","1,651,142",629291
Zambia,"16,325",348,"15,585",392,880,19,"249,204","13,435",18548750
Senegal,"15,593",323,"14,660",610,923,19,"205,757","12,185",16885492
Finland,"15,566",354,"11,300","3,912","2,808",64,"1,504,430","271,383",5543574
Sudan,"13,772",837,"6,764","6,171",312,19,,,44179132
Lithuania,"13,088",150,"4,582","8,356","4,830",55,"997,860","368,286",2709470
Namibia,"12,858",133,"10,972","1,753","5,031",52,"125,082","48,940",2555839
Mozambique,"12,525",91,"10,001","2,433",397,3,"185,273","5,875",31535713
Uganda,"12,201",108,"7,461","4,632",264,2,"544,657","11,789",46200987
Guinea,"12,020",71,"10,550","1,399",907,5,"41,696","3,148",13246958
Maldives,"11,616",37,"10,733",846,"21,367",68,"150,743","277,287",543636
DRC,"11,253",305,"10,554",394,124,3,,,90429915
Tajikistan,"10,939",82,"10,128",729,"1,139",9,,,9606753
French Guiana,"10,425",70,"9,995",360,"34,615",232,"74,011","245,747",301167
Angola,"10,269",275,"3,736","6,258",309,8,"85,213","2,567",33192044
